District,Confirmed,Active,Recovered,Deceased
Agar Malwa,1879,435,1428,16
Alirajpur,2514,584,1909,21
Anuppur,4280,887,3365,28
Ashoknagar,2284,522,1743,19
Balaghat,5677,1220,4427,30
Barwani,6287,1142,5103,42
Betul,7991,1701,6177,113
Bhind,2000,246,1744,10
Bhopal,77158,10507,65954,697
Burhanpur,1979,224,1722,33
Chhatarpur,4299,567,3691,41
Chhindwara,5384,461,4838,85
Damoh,4528,1060,3370,98
Datia,3541,1048,2466,27
Dewas,4786,574,4172,40
Dhar,7001,987,5928,86
Dindori,2366,651,1709,6
Guna,3399,859,2506,34
Gwalior,30680,8660,21711,309
Harda,3158,347,2769,42
Hoshangabad,6274,1449,4752,73
Indore,98112,12425,84602,1085
Jabalpur,30680,5921,24397,362
Jhabua,5382,1091,4256,35
Katni,5865,1681,4157,27
Khandwa,3412,195,3140,77
Khargone,9275,1211,7923,141
Mandla,2856,810,2034,12
Mandsaur,4834,892,3901,41
Morena,4882,1227,3622,33
Narsinghpur,6418,575,5801,42
Neemuch,4931,799,4075,57
Niwari,1626,678,942,6
Other Region,0,0,0,0
Panna,3310,874,2423,13
Raisen,5111,1448,3607,56
Rajgarh,5205,1469,3646,90
Ratlam,8990,1192,7642,156
Rewa,8085,2276,5768,41
Sagar,9339,1541,7630,168
Satna,6458,1321,5085,52
Sehore,5234,1143,4042,49
Seoni,4095,820,3258,17
Shahdol,5649,1452,4141,56
Shajapur,4552,1001,3519,32
Sheopur,2281,492,1772,17
Shivpuri,6048,1362,4647,39
Sidhi,3940,1242,2676,22
Singrauli,4043,1338,2668,37
Tikamgarh,3604,1372,2187,45
Ujjain,10458,2684,7640,134
Umaria,3269,874,2356,39
Vidisha,7376,2103,5167,106
